Start Time,End Time,Speaker,Transcript
0.00,14.40,SPEAKER_03," Yeah, oh okay. Oh, but I'm not interrupting there. No, not at all. What time is it?"
14.40,20.08,SPEAKER_05," I think it's 7-15 your time. No, absolutely not. Do you guys need it like 10?"
20.08,48.24,SPEAKER_05," No, it's not 7-15. Isn't it 5 hours later? Yeah, that's 12-15 my time. I was supposed 5-15. Yeah, yeah. A little float today. Yeah, oh. That's the 4th of July. What are you doing at work? I'm not at work. I went home. Oh, that's good. Yeah. We just got back from the gym. Oh, good. Uh-huh. How's it going? Oh, pretty well. It was really crowded today. Yeah, I kind of assumed"
48.24,74.48,SPEAKER_03," everyone would be at the shore. Uh-huh. Well it's the middle of the week or whatever. So, but it's the 4th of July. Mm. So, man, people still worked tomorrow. Did you have a walk yesterday? Yes. Oh, that's good. And it was paid too. Oh, it's a paid today? No. But uh, yeah, so the gym's going well. Oh,"
75.68,113.52,SPEAKER_05," but I still need to go more often. Well, how often are you going? Only four days a week. Mm-hmm. Got to get that up to five. Mm-hmm. But I don't really like going with Anne Mike because she doesn't like to stay very long. Why? I don't know. She kind of, unfortunately for some reason she's not like into cardiovascular. So, when I'm still riding the bike, she's completely finished her weightlifting routine. And like I haven't even started mine. Mm-hmm. You know, when I kind of hinted to her that really the only way to lose weight is cardiovascular. Mm-hmm. True."
113.52,120.08,SPEAKER_05," Lifting the weights won't lose weight. You know, but... No, I mean, you might lose some, but that's"
120.08,137.44,SPEAKER_03," the only way for a woman who's lifting not that much. I don't think you would. I mean, yeah, the only thing is just getting your heart rate up for extended periods of time. Yeah, so, I don't know. Maybe she'll catch on soon. You do burn a lot of calories an hour though, lifting weights."
138.40,141.92,SPEAKER_03," But yeah, I mean, you're not gonna, I don't think you're gonna lose that much."
141.92,146.64,SPEAKER_05, And also lifting weights at Bally's means you're standing online as far as much time as you're
146.64,154.72,SPEAKER_03," actually lifting. Really? Yeah. That's true, Ben. Yeah. So it's really overcrowded. Well, I mean,"
154.72,164.08,SPEAKER_05," obviously since I work, I can't get there until about six o'clock at night, which is when everyone else gets there. Mm-hmm. But I mean, I'm sure for people who go in the daytime, it's probably dead."
164.80,169.52,SPEAKER_05," Yeah. You know, and I go, like when I go Saturday and Sunday mornings, it's totally dead."
171.52,182.24,SPEAKER_05," So, but you know, the weeknight is pretty crazy. Yeah. Yeah. So I found a gym yesterday here that's"
182.24,202.48,SPEAKER_03," only eight pounds a month, which is like $12, $12.50. Wow. Yeah, it's at the hospital nearby. Well, that's a deal. Yeah. Yeah. So I think tonight Charlie and I are gonna go over and join up. Even Charlie's gonna join? No, but it has to be debited from my bank account. So it's"
202.48,209.44,SPEAKER_05," gonna be debited from this. And your letter, you said that he eats constantly. Oh, my God. Really?"
210.00,264.40,SPEAKER_03," Alice, I've never seen anybody eat as much as he does. He's so skinny. I mean, the amount of cereal he eats like between meals and after meals. Yeah. And we go through a box of cereal every two days. Really? Yeah. He totally looks for both a cereal a day, like in addition to like meals. And when he goes to work, he brings four sandwiches with him, bag of potato chips, and then little sweetie things, chocolate and cakey and stuff like that. And then, you know, before he leaves every morning, he has like two fried eggs on toast with cheese, vegetarian sausages, and like fruit and it's just crazy. It's crazy how much he eats. He was probably starving when he was here."
265.12,270.96,SPEAKER_03," Yeah, I think what we've got to do is just when he comes, just have lots of cereal. He likes cocoa"
270.96,283.04,SPEAKER_05, pots. Wow. That's pretty crazy. Yeah. It's all about being a blue collar man. I guess so.
283.04,287.60,SPEAKER_03," There's one who can eat all day. Really? Well, I mean, it does work as I've also. Yeah."
287.76,297.60,SPEAKER_05," I assume it's hard for you not to eat as much as he is. No, I'm going to quick fast in a hurry"
297.60,301.84,SPEAKER_03," because I've gained so much weight. Oh, really? Yeah. I'm saying the first week I was here,"
302.72,307.44,SPEAKER_05," I gained a lot. Well, it's hard to, you know, not eat when somebody else is eating here. Well,"
308.32,330.48,SPEAKER_03, I'm figuring it out fast. I'm not working out. No. Yeah. It's pretty miserable. My current state I called this woman today and she's a dress maker and I'm going to go see her next Thursday and talk about her making my wedding dress. Slight green. Yeah. See that way I can have exactly what I want.
330.48,343.12,SPEAKER_03," Exactly. And it's only like, it's only going to be about £250, which is about $350. So that's pretty good. I mean, comparatively. Yeah. And it'll be exactly what I want and it'll look good on me."
343.36,348.16,SPEAKER_03," You know, like, fit me. Sure. Which is necessary at the moment because I'm pulling."
