,Start Time,End Time,Speaker,Transcription,Confidence
0,0.16596875,5.650343750000001,SPEAKER_01,THIS IS CLEAR AND THIS IS KANDIS AND TO DAY THERE CAN HANDLE THE SAME ISSUE FROM THE SAME CUSTOMER,0.957659125328064
1,6.105968750000001,7.371593750000001,SPEAKER_01,TABITHA RATCHED,0.984078586101532
2,8.485343750000002,11.117843750000002,SPEAKER_01,THE POINT OF HIS VIL IS TO SHOW YOU THE DEAR FRIENDS BETWEEN,0.9052138328552246
3,11.37096875,17.78346875,SPEAKER_01,BAD IN GREAT CUSTOM OR SERVICE AND WHAT I WANT YOU TO DO IS TO NOTICE THE DIFFERENCE BETWEEN THE TWO AND THEN,0.9735652208328247
4,18.15471875,21.31034375,SPEAKER_01,COME AND DOWN BELOW YOUR OBSERVATIONS ALL RIGHT LET'S BEGIN,0.9379473924636841
5,23.95971875,26.84534375,SPEAKER_01,THINK OF RE CALLING QUISCHAN THIS IS CLEAR HOW MAY HELP YOU TO DAY,0.9209209084510803
6,28.245968750000003,29.76471875,SPEAKER_00,ISTELL HAVE NOT RECEIVED ME ORDER,0.9330580830574036
7,30.91221875,32.36346875,SPEAKER_00,YOU SAD OVER TO RECEIVE ON THE TWENTIETH,0.9053126573562622
8,32.751593750000005,33.94971875,SPEAKER_00,SO THE TWENTY SECOND,0.9408891201019287
9,34.06784375,34.759718750000005,SPEAKER_00,STILL NOTHING,0.9805921912193298
10,36.025343750000005,39.55221875,SPEAKER_00,DON'T KNOW WHAT'S GOING ON BUT IF IT'S NOT TOO MUCH OF A BOTHER TO YOU,0.9651842713356018
11,39.75471875,42.20159375,SPEAKER_00,I WOULD REALLY REALLY NOW LOVE TO GET WHAT IT PAID FOR,0.9585322141647339
12,42.50534375,45.54284375,SPEAKER_00,YOU KNOW WHAT I AM YONKAI MAY HAVE THE ORDER NUMBER AND YOUR FIRST NAME,0.9482317566871643
13,46.673468750000005,47.28096875,SPEAKER_00,FOR NINE EIGHT,0.8493760228157043
14,47.80409375,49.15409375,SPEAKER_00,FOUR NINE SEVEN SEVEN,0.9535263776779175
15,49.76159375,50.369093750000005,SPEAKER_00,TABITHO,0.9671157002449036
